DATE,CODE,NAME,12M LOW,12M HIGH,DAY LOW,DAY HIGH,DAY PRICE,PREVIOUS,CHANGE,CHANGE%,VOLUME,ADJUST,ADJUSTED,ADJUSTED PRICE
2008-01-04,^NASI,NSE All-Share Index,74.37,122.14,94.71,94.71,94.71,94.64,0.07,0.07%,"5,040,000",,-,
2008-01-07,^NASI,NSE All-Share Index,74.68,122.14,111.71,111.71,111.71,112.11,-0.4,0.36%,"45,880,000",,-,
2008-01-08,^NASI,NSE All-Share Index,73.71,121.58,101.14,101.14,101.14,101.74,-0.6,0.59%,"27,100,000",,-,
2008-01-09,^NASI,NSE All-Share Index,73.71,121.58,97.17,97.17,97.17,97.55,-0.38,0.39%,"12,250,000",,-,
2008-01-12,^NASI,NSE All-Share Index,73.71,121.58,70.32,70.32,70.32,71.28,-0.96,1.37%,"4,300,000",,-,
2008-02-04,^NASI,NSE All-Share Index,73.71,121.58,94.62,94.62,94.62,94.71,-0.09,0.10%,"5,930,000",,-,
2008-02-05,^NASI,NSE All-Share Index,74.37,122.14,107.79,107.79,107.79,107.78,0.01,0.01%,"9,010,000",,-,
2008-02-07,^NASI,NSE All-Share Index,74.68,122.14,110.91,110.91,110.91,111.71,-0.8,0.72%,"66,380,000",,-,
2008-02-09,^NASI,NSE All-Share Index,74.68,122.14,97.21,97.21,97.21,97.17,0.04,0.04%,"9,440,000",,-,
2008-02-10,^NASI,NSE All-Share Index,74.68,122.14,87.74,87.74,87.74,87.75,-0.01,0.01%,"6,960,000",,-,
2008-02-12,^NASI,NSE All-Share Index,74.68,122.14,67.71,67.71,67.71,70.32,-2.61,3.85%,"8,010,000",,-,
2008-02-25,^NASI,NSE All-Share Index,74.68,122.14,96.18,96.18,96.18,93.4,2.78,2.89%,"12,140,000",,-,
2008-02-26,^NASI,NSE All-Share Index,74.68,122.14,95.42,95.42,95.42,96.18,-0.76,0.80%,"6,940,000",,-,
2008-02-27,^NASI,NSE All-Share Index,74.68,122.14,94.75,94.75,94.75,95.42,-0.67,0.71%,"8,470,000",,-,
2008-02-28,^NASI,NSE All-Share Index,73.71,121.58,94.24,94.24,94.24,94.75,-0.51,0.54%,"8,160,000",,-,
2008-02-29,^NASI,NSE All-Share Index,73.71,121.58,98.6,98.6,98.6,94.24,4.36,4.42%,"20,320,000",,-,
2008-03-03,^NASI,NSE All-Share Index,74.68,122.14,99.86,99.86,99.86,98.6,1.26,1.26%,"11,870,000",,-,
2008-03-04,^NASI,NSE All-Share Index,74.68,122.14,95.77,95.77,95.77,94.62,1.15,1.20%,"6,870,000",,-,
2008-03-06,^NASI,NSE All-Share Index,74.68,122.14,110.14,110.14,110.14,108.82,1.32,1.20%,"8,950,000",,-,
2008-03-07,^NASI,NSE All-Share Index,74.68,122.14,110.49,110.49,110.49,110.91,-0.42,0.38%,"55,870,000",,-,
2008-03-09,^NASI,NSE All-Share Index,73.71,121.58,96.52,96.52,96.52,97.21,-0.69,0.71%,"17,380,000",,-,
2008-03-10,^NASI,NSE All-Share Index,74.68,122.14,87.72,87.72,87.72,87.74,-0.02,0.02%,"31,810,000",,-,
2008-03-11,^NASI,NSE All-Share Index,74.68,122.14,72.24,72.24,72.24,68.84,3.4,4.71%,"13,710,000",,-,
2008-03-12,^NASI,NSE All-Share Index,74.68,122.14,67.56,67.56,67.56,67.71,-0.15,0.22%,"5,000,000",,-,
